,rewards
0,-6.875
1,-0.0
2,-5.3125
3,-7.8125
4,-0.0
5,-0.0
6,-5.3125
7,-0.3125
8,-12.5
9,-8.4375
10,-3.125
11,-11.5625
12,-11.5625
13,-4.375
14,-3.4375
15,-9.6875
16,-2.5
17,-11.875
18,-0.0
19,-0.0
20,-12.5
21,-11.5625
22,-11.5625
23,-4.6875
24,-2.8125
25,-0.0
26,-0.0
27,-5.0
28,-12.5
29,-7.8125
30,-7.1875
31,-12.5
32,-2.5
33,-9.0625
34,-5.0
35,-1.5625
36,-3.75
37,-3.75
38,-3.75
39,-7.8125
40,-11.5625
41,-6.875
42,-7.5
43,-12.1875
44,-0.0
45,-3.125
46,-3.75
47,-1.5625
48,-1.875
49,-9.0625
50,-4.6875
51,-0.0
52,-5.0
53,-3.4375
54,-4.0625
55,-12.5
56,-0.0
57,-0.625
58,-11.875
59,-0.0
60,-2.1875
61,-0.0
62,-2.5
63,-11.5625
64,-4.0625
65,-10.625
66,-2.8125
67,-6.875
68,-3.75
69,-0.0
70,-12.1875
71,-12.5
72,-0.0
73,-11.25
74,-9.0625
75,-7.5
76,-0.9375
77,-2.1875
78,-5.3125
79,-6.25
80,-11.5625
81,-1.5625
82,-0.0
83,-5.625
84,-5.0
85,-3.75
86,-3.4375
87,-0.0
88,-6.875
89,-5.3125
90,-11.25
91,-11.5625
92,-4.0625
93,-4.375
94,-2.5
95,-4.0625
96,-0.0
97,-0.0
98,-0.3125
99,-12.1875
100,-10.625
101,-5.9375
102,-6.875
103,-3.125
104,-11.5625
105,-11.875
106,-2.8125
107,-0.0
108,-3.125
109,-8.125
110,-10.0
111,-3.75
112,-0.9375
113,-5.0
114,-0.0
115,-7.8125
116,-0.0
117,-0.0
118,-4.6875
119,-4.0625
120,-6.875
121,-4.0625
122,-12.1875
123,-0.0
124,-9.375
125,-0.0
126,-9.0625
127,-1.875
128,-8.125
129,-8.4375
130,-3.4375
131,-3.4375
132,-1.25
133,-7.8125
134,-3.75
135,-7.8125
136,-6.875
137,-4.6875
138,-7.8125
139,-0.0
140,-8.75
141,-5.9375
142,-10.3125
143,-4.0625
144,-7.1875
145,-0.0
146,-3.75
147,-4.0625
148,-5.3125
149,-2.1875
150,-12.8125
151,-0.9375
152,-7.5
153,-6.875
154,-4.375
155,-0.0
156,-2.1875
157,-4.6875
158,-0.0
159,-4.375
160,-3.75
161,-1.5625
162,-10.3125
163,-0.0
164,-11.25
165,-0.0
166,-5.0
167,-11.5625
168,-0.0
169,-2.1875
170,-4.6875
171,-6.25
172,-5.9375
173,-6.875
174,-0.0
175,-10.0
176,-2.5
177,-0.0
178,-12.1875
179,-0.0
180,-11.5625
181,-1.875
182,-2.1875
183,-9.0625
184,-11.25
185,-12.8125
186,-0.0
187,-4.375
188,-2.1875
189,-5.0
190,-2.1875
191,-1.5625
192,-11.5625
193,-2.8125
194,-4.375
195,-6.25
196,-5.3125
197,-0.0
198,-1.25
199,-0.0
200,-0.0
201,-11.5625
202,-12.5
203,-0.9375
204,-6.875
205,-1.5625
206,-1.25
207,-11.5625
208,-3.75
209,-6.875
210,-11.5625
211,-6.25
212,-4.0625
213,-4.6875
214,-0.0
215,-5.9375
216,-6.875
217,-2.8125
218,-12.1875
219,-2.1875
220,-0.0
221,-2.5
222,-0.0
223,-7.1875
224,-6.25
225,-8.75
226,-12.1875
227,-3.125
228,-0.0
229,-6.25
230,-2.8125
231,-7.8125
232,-0.0
233,-9.0625
234,-11.25
235,-0.0
236,-3.75
237,-2.5
238,-3.125
239,-6.875
240,-5.3125
241,-1.875
242,-6.875
243,-3.125
244,-2.8125
245,-4.375
246,-0.0
247,-0.0
248,-0.0
249,-0.0
250,-4.0625
251,-7.1875
252,-6.25
253,-3.4375
254,-10.0
255,-7.5
256,-10.0
257,-0.0
258,-5.9375
259,-1.5625
260,-0.0
261,-8.125
262,-5.9375
263,-3.125
264,-12.8125
265,-0.0
266,-6.875
267,-6.25
268,-0.0
269,-0.0
270,-9.0625
271,-0.0
272,-0.3125
273,-5.9375
274,-9.0625
275,-5.0
276,-7.8125
277,-0.0
278,-0.0
279,-1.875
280,-5.625
281,-11.5625
282,-5.9375
283,-9.375
284,-0.0
285,-7.1875
286,-0.625
287,-2.1875
288,-2.8125
289,-7.5
290,-12.5
291,-2.1875
292,-0.0
293,-2.8125
294,-2.5
295,-3.75
296,-6.875
297,-11.5625
298,-0.9375
299,-2.5
300,-4.6875
301,-0.0
